PS C:\Webster> Get-Command get-* -Module XenServerPSModule

CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Cmdlet          Get-XenAuthProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenBond                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenBondProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenCertificate                                 8.2.3      XenServerPSModule
Cmdlet          Get-XenCertificateProperty                         8.2.3      XenServerPSModule
Cmdlet          Get-XenCluster                                     8.2.3      XenServerPSModule
Cmdlet          Get-XenClusterHost                                 8.2.3      XenServerPSModule
Cmdlet          Get-XenClusterHostProperty                         8.2.3      XenServerPSModule
Cmdlet          Get-XenClusterProperty                             8.2.3      XenServerPSModule
Cmdlet          Get-XenConsole                                     8.2.3      XenServerPSModule
Cmdlet          Get-XenConsoleProperty                             8.2.3      XenServerPSModule
Cmdlet          Get-XenCrashdump                                   8.2.3      XenServerPSModule
Cmdlet          Get-XenCrashdumpProperty                           8.2.3      XenServerPSModule
Cmdlet          Get-XenDRTask                                      8.2.3      XenServerPSModule
Cmdlet          Get-XenDRTaskProperty                              8.2.3      XenServerPSModule
Cmdlet          Get-XenFeature                                     8.2.3      XenServerPSModule
Cmdlet          Get-XenFeatureProperty                             8.2.3      XenServerPSModule
Cmdlet          Get-XenGPUGroup                                    8.2.3      XenServerPSModule
Cmdlet          Get-XenGPUGroupProperty                            8.2.3      XenServerPSModule
Cmdlet          Get-XenHost                                        8.2.3      XenServerPSModule
Cmdlet          Get-XenHostCpu                                     8.2.3      XenServerPSModule
Cmdlet          Get-XenHostCpuProperty                             8.2.3      XenServerPSModule
Cmdlet          Get-XenHostCrashdump                               8.2.3      XenServerPSModule
Cmdlet          Get-XenHostCrashdumpProperty                       8.2.3      XenServerPSModule
Cmdlet          Get-XenHostMetrics                                 8.2.3      XenServerPSModule
Cmdlet          Get-XenHostMetricsProperty                         8.2.3      XenServerPSModule
Cmdlet          Get-XenHostPatch                                   8.2.3      XenServerPSModule
Cmdlet          Get-XenHostPatchProperty                           8.2.3      XenServerPSModule
Cmdlet          Get-XenHostProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenLVHDProperty                                8.2.3      XenServerPSModule
Cmdlet          Get-XenMessage                                     8.2.3      XenServerPSModule
Cmdlet          Get-XenMessageProperty                             8.2.3      XenServerPSModule
Cmdlet          Get-XenNetwork                                     8.2.3      XenServerPSModule
